Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Aciclovir (Aciclovir, Zovirax)",,,,,,,,,,J05AB01,ATC,,1,,
"Amantadina (Gocovri, Osmolex ER, Symmetrel)",,,,,,,1.0,,,N04BB01,ATC,,2,,
Atazanavir (Reyataz),,,,,,,,,,J05AE08,ATC,,3,,
Baloxavir Marboxil (xofluza),,,,,,1.0,1.0,,,782500006,SNOMED,,4,,
Brincidofovir,1.0,,,,1.0,,,,1.0,J05AB17,ATC,,5,,
Bulevirtide (Hepcludex),,,,,,,,,,J05AX28,ATC,,6,,
Cidofovir (Vistide),1.0,,,,1.0,,,,1.0,J05AB12,ATC,,7,,
Darunavir (prezista),,,,,,,,,,J05AE10,ATC,,8,,
Dolutegravir (Tivicay),,,,,,,,,,J05AJ03,ATC,,9,,
Efavirenz (sustenta),,,,,,,,,,J05AG03,ATC,,10,,
Emtricitabina (Emtriva),,,,,,,,,,J05AF09,ATC,,11,,
Famciclovir (Famvir),,,,,,,,,,J05AB09,ATC,,12,,
Favipiravir (Avigan),,,1.0,,,1.0,1.0,1.0,,J05AX27,ATC,,13,,
Fluoxetina,,,,,,,,,,N06AB03,ATC,,14,,
Ganciclovir (citoveno),,,,,,,,,,J05AB06,ATC,,15,,
"Lamivudina (Epivir, 3TC)",,,,,,,,,,J05AF05,ATC,,16,,
Laninamivir,,,,,,1.0,,,,OMOP5173449,RxNorm Extension,,17,,
Lopinavir/Ritonavir (Kaletra),,,1.0,,,,,,,J05AR10,ATC,,18,,
Molnupiravir (Lagevrio),,,,,,,,,,J05AB18,ATC,,19,,
Nirmatrelvir/retonavir (Paxlovid),,,,,,,,,,J05AE30,ATC,,20,,
Oseltamivir (Tamiflu),,,1.0,,,1.0,1.0,,,J05AH02,ATC,,21,,
Penciclovir (Denavir),,,,,,,,,,J05AB13,ATC,,22,,
Peramivir,,,,,,1.0,,,,619693,RxNorm,,23,,
Pleconaril,,,,,,,,,,J05AX06,ATC,,24,,
Pocapavir,,,,,,,,,,,,,25,,
Raltegravir (isentress),,,,,,,,,,J05AJ01,ATC,,26,,
Remdesivir (Veklury),,,1.0,,,,,1.0,,J05AB16,ATC,,27,,
"Ribavirina (Rebetol, Copegus)",,,,,,,,1.0,,J05AP01,ATC,,28,,
Rimantadine (Flumadine),,,,,,,1.0,,,J05AC02,ATC,,29,,
Tecovirimat,1.0,,,,1.0,,,,1.0,J05AX24,ATC,,30,,
Tenofovir disoproxil (viread),,,,,,,,,,J05AF07,ATC,,31,,
Tenofovir alafenamida,,,,,,,,,,J05AF13,ATC,,32,,
Umifenovir (Arbidol),,,,,,1.0,1.0,,,J05AX13,ATC,,33,,
Valaciclovir (Valtrex),,,,,,,,,,J05AB11,ATC,,34,,
Valganciclovir (Valcyte),,,,,,,,,,J05AB14,ATC,,35,,
Zalcitabina,,,,,,,,,,J05AF03,ATC,,36,,
Zanamivir (relenza),,,1.0,,,1.0,1.0,,,J05AH01,ATC,,37,,
"Zidovudine (Retrovir, AZT)",,,,,,,,,,J05AF01,ATC,,38,,
